english;french
Listening device;Appareil d'écoute
Listening gear;Ecoute appareil d'écoute sous-marin
Listening watch;Ecoute
Listing (to port or starboard);Bande (à la)
List Documentation Final;Liste définitive de la documentation
List allowance;Liste de rechanges état d'allocation
List cable parts;Nomenclature de câbles
List check-;Liste des contrôles
List component parts;Liste des pièces détachées
List components / draft components;Liste d'éléments constitutifs (LEC)
List drawing;Répertoire des plans
List equipment;Liste du matériel
List equipment;Nomenclature de matériels
List final document;Liste de la documentation finale
List illustrated part;Nomenclature ordonnée des pièces
List line;Liste de lignes
List packing;Liste de colisage
List parts;Liste des éléments constitutifs
List parts;Nomenclature de composants pièces
List parts;Nomenclature logistique
List parts identification;Nomenclature
List parts (component);Répertoire des pièces détachées
List procurement check;Liste de contrôle pour  spécificatio
List repairable items;Liste des articles réparables
List ship spares allowance;Liste rechanges bord (liste des rech
List shore depot spare parts allowa;Liste rechanges base (rechanges non
List spare parts  / spares (GB);Liste (des pièces) de rechange
List tools and test equipment;Liste des équipements de test et d'o
Lit;Allumé
Lithergol;Lithergol
Live;Actif
Live;Sous tension
Live part;Partie active
Live part;Partie sous tension
Live part;Sous tension (partie)
Living product or state;Produit vivant
Living quarters;Espaces vie
Living spaces;Aménagements
Lizard;Bosse courante
Load;Charge (puissance demandée)
Load;Charge - d'absorption d'énergie
Load;Charge - mécanique
Load;Puissance demandée à une génératrice
Load fraction;Degré de charge
Load hook-up;Accrochage de la charge
Load limiter;Effort (limiteur d')
Load per unit length;Charge linéique
Load pulse unit;Module de charge impulsive
Load sharing;Distribution de la charge
Load sharing;Répartition de charge
Load shedding;Délestage
Load transfer;Transfert de charge
Load waterline;Ligne de flottaison en charge
Load waterplane;Ligne d'eau en charge
Load (a gun);Approvisionner (un canon)
Loaded-line phase shifter;Déphaseur à perturbation
Loader (of a weapon);Chargeur
Loading;Embarquement chargement
Loading berth;Poste de chargement
Loading chute/hopper;Trémie de chargement
Loading dock;Embarcadère
Loading drum (at foot of ammunition;Barillet
Loading pallet;Palette de chargement
Loading port;Sabord de chargement
Loading system (for a gun etc);Ravitaillement système de
Loading tray;Auget
Loading tray;Chargeur d'empreintes/plateau de cha
Loading (of ammunition hoists);Garnissage
Loading air blast;Chargement provoqué par le souffle
Loading long duration static;Chargement statique de longue durée
Loading secondary;Chargement secondaire
Loading static;Chargement statique
Loading storage and launching syste;Système de chargement de stockage e
Loading/ unloading;Chargement/ déchargement
Loading/filling;Chargement
Loads/burdens;Charges
Load-on / load-off;Manutention verticale levage
Load-sensing;Détection de charge (à)
Load Safe Working;Charge d'utilisation
Load Safe Working;Charge maximale (Charge de travail)
Load Safe Working;Charge maximale d'opération
Load Safe Working;Charge maximum pratique
Load Safe Working;Charge maximum utile
Load axial;Effort axial
Load axiazl;Charge axial
Load bending;Charge/Chargement de flexion
Load biaxial;Chargement directionnel
Load boiler safety valve;Charge de soupape de sûreté
Load breaking;Charge de rupture
Load buckling;Chargement de flambement
Load centric axial;Charge axiale centrée
Load concentrated;Charge concentrée (appliquée en un p
Load concentrated;Chargement concentré
Load cyclic;Charge/chargement cyclique
Load cyclic;Effort cyclique
Load drag;Effort résistant
Load dummy;Charge (fausse)
Load dummy;Charge fictive (roulotte d'impédance
Load fluctuating;Charge variable
Load hoisting;Charge hissage affalage
Load hotel;Consommation du bord
Load hydrodynamic;Charge/chargement hydrodynamique
Load hydrostatic;Charge hydrostatique
Load inductive;Charge inductive
Load lifted;Charge soulevée
Load lowering;Charge hissage affalage
Load matched;Charge adaptée
Load peak;Charge de pointe
Load power;Charge wattée
Load prolonged;Charge/chargement prolongé
Load rated;Charge nominale
Load recovery;Effort de virage en contrôle automat
Load rendering;Effort de dévirage en contrôle autom
Load resistive;Charge résistive
Load rolling;Charge roulante
Load running;Charge dynamique
Load short-duration;Charge/Chargement de courte durée
Load slung (ou underslung);Charge à l'elingue
Load spring;Charge à ressort
Load stalling;Effort de calage
Load static;Charge statique
Load static test;Charge d'épreuve statique
Load stationary;Charge fixe
Load tensile;Charge de traction
Load underslung;Charge suspendue
Load water;Charge fictive (refroidie à l'eau)
Load work;Charge
Load work;Charge (de travail)
Load/cargo;Chargement
Loan agreement;Convention d'ouverture de crédit
Lobby (e.g. Wardroom Lobby);Avant poste
Lobes side;Lobes secondaires
Lobe radar;Lobe radar
Lobe transmission;Lobe d'émission
Local Air Picture Director;Adjoint image aérienne rapproché
Local Loopback;Renvoi en retour local (d'un circui
Local control cabinet;Coffret local
Local emergency;Grand secours
Local framing stiffeners;Renforts locaux de charpente
Local friction coefficient based on;Coefficient de frottement local sur
Local friction coefficient based on;Coefficient de frottement local sur
Local immersion technique;Technique par immersion localisée
Local operating mode;Fonctionnement en local
Local operation (off-load mode / on-;Conduite locale (mode isolé / mode n
Local protrusion;Goutte
Local shipyard;Chantier local
Localized damage;Dégât(s) localisé(s)
Locating bosses;Bossages de localisation
Locating hole;Avant trou
Locating lugs correctly engaged;Détrompage correct
Locating pin;Détrompeur (mâle)
Locating pin;Pied de centrage
Locating pin;Pied de positionnement
Locating pin / Locating lug / polari;Polariseur (détrompeur de prise)
Locating spigot;Téton de centrage
Location;Emplacement
Location and functional equipment id;Repère topo-fonctionnel
Location and functional item list;Nomenclature topo-fonctionnelle
Location dimensions;Cotation de position
Location marking;Etiquette d'implantation
Location marking;Numéro de local
Location on board;Implantation à bord
Location (DCN jargon);Gisement
Locator;Détrompeur de connecteur (positionne
Locator;Positionneur
Lock;Ecluse
Lock;Serrure
Lock;Verrou
Lock arm;Linguet de verrouillage
Lock into step (to);Accrocher (synchroniser)
Lock into step (to);Accrocher au synchronisme
Lock into step (to);Mettre au synchronisme (se)
Lock on (to);Accrocher
Lock plate;Frein plat
Lock pulse;Asservissement impulsion d'
Lock (to);Verrouiller
"Lock (""plugged-in"" ""plugged-out"")";Verrouillage par serrure en position
Lockable cap;Couvercle verrouillable
Locked choke;Rotor bloqué (ou calé)
Locker;Caisson
Locker;Coffre
Locker for foodstuffs;Caisson à denrées alimentaires
Lockers;Caissons
Locker ammunition;Armoire à munitions
Locker battery;Armoire à batteries électriques
Locker cleaning gear;Armoire de propreté
Locker clothing;Armoire à linge
Locker damage control (DC);Armoire de sécurité
Locker filter;Armoire à filtres
Locker flag;Caisson à pavillons
Locker flag and shape;Caisson à pavillons et marques de si
Locker food and salt;Caisson à denrées et à sel
Locker individual;Caisson individuel
Locker mess;Armoire d'équipage
Locker mine disposal vehicle explos;Armoire pour mises à feu  des PAP
Locker paint;Local peinture
Locker pyrotechnics;Armoire à artifices
Locker ready-use (RU);Soute munitions relais
Locker repair (US);Armoire de sécurité
Locker signal/flag;Armoire des signaux visuels
Locker small arms;Armoire à armes d'infanterie
Locker small arms;Armoire à armes portatives
Locker storage;Armoire de rangement
Locker/store paint;Soute à peinture
Locking;Blocage
Locking;Freinage
Locking;Verrouillage
Locking bucket (GT);Aube de fermeture (TAG)
Locking facility;Fonction consignation
Locking plate;Frein d'écrou
Locking plate;Joue de blocage
Locking washer for rudder blade nut;Tôle sûreté écrou de safran
Lockout latch;Verrou de blocage
Lockwasher;Rondelle-frein
Lockwasher serrated;Rondelle à dents
Lockwire;Fil à freiner
Lock-on;Accrochage
Lock-on;Accrochage de l'objectif
Lock-through (to) (to enter a lock);Ecluser
Lock blade;Verrou de pale
Lock cartridge;Verrou de douille
Lock folding hinge;Verrou de repliage
Lock spring;Verrou à ressort
Lock to;Caler (un circuit)
Lock tongue;Frein à languette
Loctite thread locking compound;"Pâte ""loctite'' de freinage filets"
Loctite high strength thread lockin;Loctite frein filet fort
Loctite low strength thread locking;Loctite frein filet faible
Loctite medium strength thread lock;Loctite frein filet normal
Loftsman;Traceur
Log;Journal de quart
Log;Loch
Log;Registre
Log Book / Logbook (RG Aéro term);Livret suiveur
Log book (ship's log);Journal de bord
Log card;Fiche suiveuse
Log sensor;Base de loch
Log (to);Enregistrer (des données physiques)
Log (to) to record (in ship's log);Inscrire (au journal de bord)
Logarithmic decrement;Décrément logarithmique
Logbooks (Vol 4 of POM)(SAW II);Journaux et Cahiers (SAW II)
Logbook (of the watch);Cahier de quart
Logger;Enregistreur (de données)
Logger Autoguard;Enregistreur de veille automatique
Logger data;Appareil enregistreur de données
Logger data;Enregistreur de données (appareil)
Logic diagram;Logigramme
Logistic statement;Etat logistique
Logistic support;Logistique soutien -
Logistic support analysis record;Documentation d'analyse du soutien l
Logistics manager;Coordonnateur logistique
Logistics support;Support logistique
Logistics trade-offs;Choix logistiques
Logo (Logogram);Sigle (compagnie)
Log.damping rate;Décrément log.
Log electromagnetic;Loch électromagnétique
Log insulation readings;Cahier d'isolement
Log pitometer;Pitomètre
Log radio / wireless;Journal radiotélégraphique
Log running time;Cahier d'heures de marche
Log ship's;Livre de bord
Log speed and distance repeaters;Loch répétiteurs de vitesse et parc
Loll;Angle de gîte permanente
Long burst;Rafale longue
Long dog point;Téton long
Long nipple;Longue-vis
Long supply;Quantité en abondance
Long ton;Tonne anglaise
Long wave;Grandes ondes
Long -term behaviour under stress;Comportement à long terme sous charg
Longitude;Longitude
Longitude assumed;Longitude supposée
Longitude astronomic;Longitude astronomique
Longitude celestial;Longitude céleste
Longitudinal;Lisse
Longitudinal;Longitudinal
Longitudinal;Membrure longitudinale
Longitudinal area coefficient for ra;Coefficient de surface longitudinale
Longitudinal bulkhead bottom plating;Virure inférieure des cloisons longi
Longitudinal centre of buoyancy from;Centre de carène longitudinal à part
Longitudinal centre of buoyancy from;Centre de carène longitudinal à part
Longitudinal centre of gravity;Centre de gravité longitudinal
Longitudinal centre of gravity from;Centre de gravité longitudinal à par
Longitudinal centre of gravity from;Centre de gravité longitudinal à par
Longitudinal element;Elément longitudinal
Longitudinal frame;Lisse longitudinale
Longitudinal metacenter;Métacentre longitudinal
Longitudinal metacentre above moulde;Métacentre longitudinal au-dessus de
Longitudinal metacentre of buoyancy;Métacentre longitudinal de flottabil
Longitudinal metacentric height;Distance métacentrique longitudinale
Longitudinal metacentric height;Grand rayon métacentrique
Longitudinal metacentric height;Hauteur métacentrique longitudinale
Longitudinal moment of inertia of wa;Moment d'inertie longitudinal de la
Longitudinal prismatic coefficient;Coefficient prismatique longitudinal
Longitudinal propeller position;Position longitudinale de l'hélice
Longitudinal second moment of waterp;Moment d'inertie longitudinal de la
Longitudinal shrinkage;Retrait longitudinal
Longitudinal stiffener / deck longit;Lisse de pont
Longitudinal strake;Cuillère
Longitudinal web frame;Porque latérale
Longitudinal (main/secondary);Lisse de bordé (principale/secondair
Longitudinals above strength deck;Eléments longitudinaux continus au-d
Longitud. section through ship's cen;Coupe longitudinale par l'axe (bloc
Longway of mesh;Longue diagonale des mailles
Long-range;Longue portée
Long-tailed pair;Montage différentiel
Long. and transv.  alignment of thru;Calage longitudinal et transversal d
Long/short time delay;Long retard / court retard
Lookout;Veille
Lookout;Veilleur
Lookout;Vigie
Lookout port (on liferaft);Hublot (de radeau de sauvetage)
Lookout position;Couronne de veille
Loom (of a light);Lueur
Loop;Bouclage
Loop;Boucle
Loop;Boucle (circuit fermé)
Loop;Ventre (vibration)
Loop aerial;Cadre récepteur
Loop (or frame) antenna;Cadre électrique (collecteur d'ondes
Loop (to) to hang in loops (of elec;Disposer en feston
Looped;Bouclé (adj.)
Looping-in;Dérivation interne
Looping-in (feed through);Repiquage (passage en coupure)
Loop SNTI;Boucle SNTI
Loop corrective;Action de bouclage correctif
Loop degaussing;Boucle d'immunisation
Loop earth;Boucle de terre
Loop earth/ground;Boucle de masse
Loop end-of-wire;Boucle des sorties
Loop feedback;Boucle d'asservissement
Loop feedback;Boucle de réaction
Loop feedback control;Boucle de réglage
Loop ground/earth;Boucle de masse/terre
Loop historical;Action de bouclage historique
Loop magnetic coupling;Boucle de couplage magnétique
Loop open;Boucle ouverte
Loop phase-locked;Boucle Asservie en Phase
Loop preventive;Action de bouclage préventif
Loop quality;Boucle de la qualité
Loop spliced;Boucle épissée
Loop transfer and pump suction;Boucle de transfert et d'aspiration
Loose;Désserré lâché
Loose flange on flared flange;Bride tournante sur collet battu
Loose leaf;Feuille volante
Loose terminal;Mauvais serrage d'une borne
Loosen (to);Désserrer
Loosening of electrical or mechanica;Relâchement des connexions électriqu
Loosening slackening-off untighten;Desserrage
Lose way (to);Perdre son erre
Losing dimension;Compte de perte
Loss;Perte
Loss carry-back;Report en arrière de déficit
Loss of DG;Perte groupe (DA)
Loss of liquid seal;Perte de poche d'eau
Loss of opportunity;Manque à gagner
Loss of power sources;Perte sources
Loss of prime;Désamorçage (pompe)
Loss of stering control;Perte de manoeuvre du gouvernail
Loss on ignition;Perte au feu / par calcination
Losses friction;Pertes par frottement (dans tuyaux
Losses induced;Pertes induites
Losses quality;Pertes relatives à la qualité
Lossy;A forte atténuation
Loss graded;Perte graduelle
Loss head;Perte de charge (exprimée en mètres
Loss ignition;Perte par calimation /perte au feu
Loss power;Perte de puissance
Loss pressure;Perte de charge (exprimée en Newton/
Loss reflection;Perte due aux réflexions
Loss tip;Perte marginale
Loss volume;Perte de volume
Loss weight;Perte de poids
Lost motion;Course morte
Loud;Fort
Loud;Puissant (téléphone haut-parleur)
Loud and clear;Cinq sur cinq
Loud speaker;Haut-parleur
Lounge;Fumoir (office OM/OMS)
Louvre;Chassis à ventelle (de ventilation)
Louvre;Grille de défilement
Louvre;Ouïe (TAG)
Low frequency generator;Générateur basse fréquence
Low frequency line audiofrequency l;Ligne de basse fréquence
Low hazard;Quasi-inoffensif
Low idle (engine speed);Ralenti minimum (vitesse moteur)
Low pressure;Basse Pression
Low resistance;Faible résistance
Low space requirement;Faible encombrement
Low speed;Petite vitesse
Low speed propeller;Hélice à faible vitesse de rotation
Low voltage;Basse tension
Low water;Basse mer
Low water mark;Laisse de basse mer
Lower;Inférieur
Lower limit of flammability;Limite inférieure d'inflammabilité
Lower side-band (LSB);Bande latérale inférieure
Lowering (eg. of a seaboat);Affalage
Lower(to) the voltage;Abaisser la tension
Lowest astronomical tide;Basse mer inférieure
Lowest low water;Niveau des plus basses mers
Low-cost;Faible coût à
Low-drift;Faible dérive à
Low-noise;Faible bruit à
Low-observable;Discret
Low-precision;Faible précision
Lubber's line (on compass repeat);Ligne de foi
Luboil diesel generator;Huile de graissage de diesel-alterna
Luboil engine inlet;Huile entrée moteur
Luboil gearbox;Huile de graissage de réducteur
Luboil main engine;Huile de graissage du moteur princip
Luboil stern tube;Huile de graissage de tube d'étambot
Luboil thrust block;Huile de graissage de butée
Lubricant;Lubrifiant
Lubricant bloom;Exsudation de lubrifiant
Lubricant with additive;Lubrifiant complexe
Lubricant gaseous;Lubrifiant gazeux
Lubricant gaseous;Lubrifiant gazeux
Lubricant liquid;Lubrifiant liquide
Lubricant solid;Lubrifiant solide
Lubricant synthetic;Lubrifiant synthétique
Lubricate (to);Graisser
Lubricate (to);Lubrifier
Lubricating oil plate heat exchanger;Réfrigérant à plaques pour huile de
Lubricating pipe guard;Protecteur de la tuyauterie de lubri
Lubricating system;Circuit de graissage
Lubrication;Graissage
Lubrication;Lubrification
Lubrication aerodynamic;Lubrification aérodynamique
Lubrication aerostatic;Lubrification aérostatique
Lubrication boundary;Graissage à film d'huile
Lubrication boundary;Lubrification limite
Lubrication continuous;Lubrification continue
Lubrication dip-feed (oil-bath);Lubrification par barbotage
Lubrication drop-feed (drip-feed);Lubrification goutte à goutte
Lubrication elasto-hydrodynamic;Lubrification élasto-hydrodynamique
Lubrication engine;Graissage de moteur
Lubrication forced-feed oil;Graissage à huile sous pression
Lubrication force-feed;Lubrification forcée (sous pression)
Lubrication gas-film;Lubrification par gaz
Lubrication gearbox;Graissage réducteurs
Lubrication hydrodynamic;Lubrification hydrodynamique
Lubrication hydrostatic;Lubrification hydrostatique
Lubrication lfe-time;Lubrification permanente
Lubrication liquid-film;Lubrification par liquide
Lubrication mixed-film;Lubrification mixte
Lubrication oil fog (oil mist lubri;Lubrification par brouillard d'huile
Lubrication once-through;Lubrification à lubrifiant perdu
Lubrication pad;Lubrification au tampon
Lubrication periodical;Lubrification périodique
Lubrication pressure-grease;Graissage à la graisse sous pression
Lubrication recirculating;Lubrification de recirculation
Lubrication ring;Lubrification par bague
Lubrication rotaprint;Lubrification par contact solide
Lubrication slipstream;Lubrification par sillage
Lubrication solid-film;Lubrification par film solide
Lubrication splash;Graissage par barbotage
Lubrication wick;Lubrification par mèche
Lubricator;Dispositif de lubrification
Lubricator;Graisseur
Lubricator bracket;Fixation du graisseur
Lubricator-regulator-filter unit;Filtre régulateur-lubrificateur
Lubricity;Pouvoir lubrifiant
Lubrificator bracket;Support du dispositif de lubrificati
Lubrifier;Lubrificateur (adj.)
Lug;Cosse
Lug;Cosse de câble électrique
Lug;Détrompeur (mâle)
Lug;Oreille
Lug;Patte
Lug;Patte de fixation
Lug;Taquet
Lug;Tenon
Lug (for panelling);Patte d'attache (pour lambrissage)
Lugs (mounting Lugs / clips);Pattes (soudées)
Lug terminal uninsulated;Cosse nue à sertir
Lug/terminal crimping;Cosse à sertir
Lug/terminal ring;Cosse circulaire
Lug/terminal riveting;Cosse à river
Lug/terminalopen;Cosse ouverte
Lull;Accalmie
Lumber;Bois de charpente
Lumen;Lumen
Lumen per square metre;Lumen par mètre carré
Lumen second;Lumen seconde
Luminaire;Luminaire
Luminaire for corner-fixing/mounting;Luminaire d'angle
Luminaire for emergency lighting;Luminaire pour éclairage de secours
Luminaire for indoor use;Luminaire d'intérieur
Luminaire for road and street lighti;Luminaire d'éclairage public
Luminaire for stage lighting televi;Luminaire pour l'éclairage des scène
Luminaire with built-in transformer;Luminaire à transformateur intégré p
Luminaire / lighting fitting;Luminaire
Luminaires with electro-mechanical c;Luminaire à systèmes de contacts éle
Luminaire Class 0;Luminaire de classe 0
Luminaire Class I;Luminaire de classe I
Luminaire Class II;Luminaire de classe II
Luminaire Class III;Luminaire de classe III
Luminaire adjustable;Luminaire réglable
Luminaire air-handing;Luminaire à circulation d'air
Luminaire basic;Luminaire de base
Luminaire combination;Luminaire composé
Luminaire extra low voltage d.c. su;Luminaire à fluorescence alimenté en
Luminaire fixed;Luminaire fixe
Luminaire fixed general purpose;Luminaire fixe à usage général
Luminaire general purpose;Luminaire pour usage général
Luminaire heavy- duty;Luminaire pour conditions sévères d'
Luminaire insulation incased class;Luminaire de classe II à enveloppe i
Luminaire mains socket-outlet-mount;Luminaire monté avec prise de couran
Luminaire ordinary;Luminaire ordinaire
Luminaire photo and film (non-profe;Luminaire pour prise de vue photogra
Luminaire portable;Luminaire portatif
Luminaire portable general purpose;Luminaire portatif à usage général
Luminaire recessed;Luminaire encastré
Luminaire rough service;Luminaire pour conditions sévères d'
Luminaire solid-object-proof;Luminaire étanche aux corps solides
Luminaire special purpose;Luminaire pour usage spécial
Luminaire stirrup-mounted;Luminaire à étrier de fixation
Luminaire track-mounted;Luminaire monté sur rail
Luminaire ventilated;Luminaire à circulation d'air
Luminance;Luminance
Luminescence;Luminescence
Luminous exitance;Exitance lumineuse
Luminous intensity;Intensité lumineuse
Lump sum;Forfait
Lurch;Coup de roulis
Lux;Lux
Lux;Lux
MCMV manager (Pakistan MCMV project;Ingénieur responsable navire (CMP)
MINICIN MOD 3 (protective measures);MINICIN MOD 3 (mesures conservatoire
Macerator;Macérateur
Machine Repairman;Réparateur de machines
Machine gun;Mitrailleuse
Machine tools;Machines outils
Machine (to);Usiner
Machinery and Electrical Control Roo;Poste de contrôle machine électricit
Machinery control and surveillance;Sous système de conduite machine
Machinery control room;Poste central machines
Machinery space bilges;Cale(s) compartiment machines
Machinery auxiliary;Appareils auxiliaires
Machinery deck;Auxiliaires du pont
Machinery rotary;Appareil de type rotatif
Machine-tool;Machine
Machine-tool setter;Opérateur-régleur
Machine arbor drilling;Machine à percer à forets
Machine balancing;Machine à équilibrer
Machine bending;Cintreuse
Machine bending;Machine à cintrer
Machine boring;Machine à aléser
Machine centering;Machine à centrer
Machine centrifugal (rotational) ba;Machine à équilibrer centrifuge (rot
Machine charging;Machine à charger
Machine coffee;Machine à café
Machine compensating (null-force) b;Machine à équilibrer à compensation
Machine cutter-making;Machine à tailler les fraises
Machine cutting-off;Machine à saigner
Machine cutting-off;Machine à tronçonner
Machine direct-reading balancing;Machine à équilibrer à lecture direc
Machine dividing;Machine à diviser
Machine drawing;Machine à étirer
Machine dredging;Machine à draguer
Machine drilling;Machine à percer
Machine dynamic (two-plane) balanci;Machine à équilibrer dynamique (à de
Machine edge-planing;Machine à chanfreiner
Machine electric welding;Machine à souder électrique
Machine flanging;Machine à border
Machine gear cutting;Machine à tailler les engrenages
Machine gravitational balancing;Machine à équilibrer par gravité
Machine gravitational (non-rotation;Machine à équilibrer par gravité (no
Machine grinding;Machine à meuler
Machine grinding;Machine à rectifier
Machine hand-operated bending;Cintreuse à main
Machine hard bearing (force-measuri;Machine à équilibrer à paliers rigid
Machine horizontal emery-grinding;Machine à lapider
Machine jointing;Machine à faire les joints
Machine jolting / upsetting;Machine à refouler
Machine kneading;Pétrin
Machine kneading with tilting head;Pétrin à tête relevable (boulangerie
Machine lapping;Machine à roder
Machine low-speed balancing;Machine à équilibrer à basse vitesse
Machine matching or slotting;Machine à bouveter
Machine metal pressure die-casting;Machine à mouler les métaux sous pre
Machine milling horizontal;Fraiseuse horizontale
Machine milling universal;Fraiseuse universelle
Machine mitre-cutting;Machine à coupe d'onglet (à couper l
Machine mixing / kneading;Pétrin mélangeur
Machine moulding;Machine à mouler / moulurer
Machine nibbling;Grignoteuse
Machine notching;Machine à encocher
Machine nozzle reseating;Machine à rectifier les injecteurs
Machine planing;Machine à planer
Machine planing;Machine à raboter
Machine plate-flattening and bendin;Machine à rouler et à cintrer les tô
Machine plate-folding and bending;Machine à plier et couder les tôles
Machine polishing;Machine à polir
Machine preforming;Machine de préforme
Machine profiling;Machine à profiler
Machine punching;Machine à poinçonner
Machine punching and shearing;Machine à poinçonner et à cisailler
Machine radial drilling;Perçeuse radiale
Machine resin injection;Machine d'injection de résine
Machine riveting;Machine à river
Machine sand-papering;Machine à poncer
Machine sawing;Machine à scier
Machine secondary operation;Machine de reprise
Machine setting;Machine à avoyer
Machine shaping;Emboutisseuse
Machine shaping;Etau-limeur
Machine shaping;Etau-limeur
Machine sharpening;Machine à affûter
Machine shearing;Cisaille
Machine shearing;Machine à cisailler
Machine shock;Machine à chocs
Machine shock testing;Machine d'essai au choc
Machine shrinking and welding;Machine à refouler et à souder
Machine single-plane (static) balan;Machine à équilibrer à un seul plan
Machine slotting / mortising;Machine à mortaiser
Machine slot-drilling;Machine à rainer
Machine soft bearing balancing;Machine à équilibrer à paliers soupl
Machine soft bearing (above resonan;Machine à équilibrer à paliers soupl
Machine stamping;Machine à estamper
Machine straightening;Machine à dresser
Machine surface-planing;Machine à dégauchir
Machine surface/shaping;Machine de surfaçage
Machine swaging;Machine à former
Machine tapping;Machine à tarauder
Machine tenoning;Machine à tenons
Machine trimming;Machine à ébarber
Machine tube bending;Cintreuse à tubes
Machine tube tapping;Machine à tarauder les tubes
Machine vibration;Machine à vibrations
Machine washing;Machine à laver le linge
Machine wire-drawing;Machine à tréfiler
Machining;Usinage
Machining allowance;Surépaisseur d'usinage
Machining allowance;Surépaisseur d'usinage
Machining from stock;Usinage dans de la barre
Machining of journals;Usinage des tourillons
Machinist's Mate;Mécanicien
Macrography;Macrographie
Macromechanics;Macromécanique
Magazine;Dépôt/ armoire à munitions
Magazine;Soute à munitions
Magazine flooding;Noyage de soute à munitions
Magazine rack;Porte-revue
Magazine spray system;Tuyautage de noyage des soutes
Magazine (of a rifle/gen etc.);Chargeur
Magazine ammunition stowage;Soute de stockage de munitions
Magazine cartridge;Soute à douilles
Magazine main PAP charge;Soute principale de charges de poiss
Magazine projectile;Soute à projectiles
Magazine ready-service (US);Soute de relais
Magazine ready-use (UK);Soute de relais
Magazine torpedo;Soute torpilles
Magnesium oxide;Magnésie
Magnet;Aimant
Magnet armature;Armature magnétique
Magnet gap;Entrefer
Magnetic and acoustic minesweeping g;Drague magnéto-acoustique
Magnetic base dial gauge support;Support de comparateur à socle magné
Magnetic brake unit;Frein magnétique
Magnetic constant permeability of v;Constante magnétique perméabilité d
Magnetic declination;Déclinaison
Magnetic dipole moment;Moment de dipôle magnétique
Magnetic field strength;Intensité du champ magnétique
Magnetic heading;Cap magnétique
Magnetic induction;Induction magnétique
Magnetic lag;Hystérésis
Magnetic particle inspection;Magnétoscopie
Magnetic permeability;Perméabilité magnétique
Magnetic resonance imaging scanner;Scanner à imagerie par résonance mag
Magnetic vector potential;Potentiel vecteur magnétique
Magnetic (area) moment;Moment magnétique (ampérien)
Magnetism induced athwartship (IAM);Champ magnétique transversal induit
Magnetism induced longitudinal (ILM;Champ magnétique longitudinal induit
Magnetism induced vertical (IVM);Champ magnétique vertical induit
Magnetism residual;Magnétisme rémanent
Magnetism residual;Magnétisme résiduel
Magnetization;Aimantation
Magnetization induced athwartships;Aimantation transversale induite
Magnetization induced longitudinal;Aimantation longitudinale induite
Magnetization induced vertical;Aimantation verticale induite
Magnetization permanent athwartship;Aimantation transversale permanente
Magnetization permanent longitudina;Aimantation longitudinale permanente
Magnetization permanent vertical;Aimantation verticale permanente
Magneto;Magnéto
Magnetometer;Magnétomètre
Magnetomotive force;Force magnétomotrice
Magnetron;Magnétron
Magnets and notice boards;Plots et tableaux d'affichage
Magnet field;Aimant inducteur
Magnet horseshoe;Aimant en fer à cheval
Magnet permanent;Aimant permanent
Magnification;Grossissement
Magnification factor;Facteur d'agrandissement
Magnification angular (optics);Grossissement angulaire (optique)
Magnify (to);Grossir
Magnifying;Grossissant
Magnifying glass;Loupe
Magnifying power;Grossissement optique
Magnitude;Grandeur
Magnitude of the margins;Ampleur des marges
Magnitude of the modal excentricity;Module de l'excentricité modale
Magnitude of the modal vibration dis;Module du vecteur de déplacement de
Magnitude of the resultant moment;L'amplitude de la résultante des mom
Magslip (GB);Transmetteur d'angle asservi
Mahogany;Acajou
Mailbox;Boîte à courrier
Main;Collecteur
Main;Collecteur (tuyauterie)
Main;Principal
Main AC motors;Gros moteurs CA
Main brace;Grand bras
Main bracket;Support du régulateur de l'immersion
Main branch-line;Dérivation principale
Main breaker;Interrupteur général
Main cabinet;Coffret distribution
Main coil (M-coil);Circuit principal d'immunisation (ci
Main communications office / Communi;PC télécom
Main datum planes;Référentiels principaux
Main diesel engines;Moteurs diesel principaux
Main drive gear;Prise de puissance principale
Main electric motor;Moteur électrique principal
Main engine;Moteur principal
Main engine air intake;Aspiration d'air de l'appareil propu
Main engine and shaftline overboard;Evacuation à la mer de moteur princi
Main engine control manual;Guide de conduite de l'appareil prop
Main engine exhausts;Echappement des gaz des moteurs de p
Main engine local control panel;Tableau local de propulsion
Main engine raft;Palette propulsion
Main engines;Machines principales
Main engines;Propulsion
Main frame;Maître couple
Main gear box;Réducteur principal
Main interphone;Interphone principal
Main point of contact;Correspondant principal
Main power take off;Prise de puissance principale
Main power take off side;Côté prise de puissance principale
Main rotor brush-rockers;Couronnes porte-balais
Main rotor hub;Moyeu rotor principal
Main stay;Grand étai
Main stresses principal stresses;Principaux efforts
Main structural elements;Eléments de charpente principaux
Main undercarriage;Train principal
Main valve;Prise de tête
Mains;Secteur (alimentation électrique)
Mains ON (UK);Secteur
Mains lead;Cordon d'alimentation secteur
Mains power on;Mise sous tension secteur
Mains supply;Réseau (secteur)
Mains transient;Transitoire du réseau
Maintain a presence in the area;Garantir une permanence sur zone
Maintain course and speed;Maintenir route et vitesse
Maintain headway (to);Garder de l'erre en avant
Maintain speed (to);Maintenir la vitesse
Maintain (to);Assurer / maintenir
Maintainability;Maintenabilité
Maintaining a surface picture;Tenue de situation surface
Maintaining heading/holding set cour;Tenue de cap
Maintaining / holding contact;Tenue de contact
Maintenance;Maintenance
